,TP,Predict_counts,Correct_counts,
600438.XSHG,0.604477612,134,81,1
000630.XSHE,0.5,112,56,0
601216.XSHG,0.557251908,131,73,1
002146.XSHE,0.668639053,169,113,1
601857.XSHG,0.538461538,52,28,1
601919.XSHG,0.448275862,116,52,0
600036.XSHG,0.640776699,103,66,1
600111.XSHG,0.443037975,158,70,0
600115.XSHG,0.4375,128,56,0
600436.XSHG,0.593103448,145,86,1
600741.XSHG,0.661538462,130,86,1
600100.XSHG,0.554054054,148,82,1
000876.XSHE,0.589473684,95,56,1
002460.XSHE,0.584269663,178,104,1
002602.XSHE,0.462962963,108,50,0
601788.XSHG,0.491666667,120,59,0
002450.XSHE,0.580310881,193,112,1
002797.XSHE,0.608695652,23,14,1
300033.XSHE,0.453416149,161,73,0
600011.XSHG,0.590909091,88,52,1
601866.XSHG,0.510416667,96,49,1
000783.XSHE,0.580645161,124,72,1
000540.XSHE,0.556451613,124,69,1
002202.XSHE,0.579710145,138,80,1
300059.XSHE,0.544117647,136,74,1
600066.XSHG,0.549295775,142,78,1
601088.XSHG,0.537037037,108,58,1
600900.XSHG,0.578313253,83,48,1
002008.XSHE,0.571428571,189,108,1
600498.XSHG,0.510989011,182,93,1
002572.XSHE,0.553030303,132,73,1
000425.XSHE,0.513513514,148,76,1
000961.XSHE,0.563758389,149,84,1
000069.XSHE,0.5875,160,94,1
600489.XSHG,0.551724138,116,64,1
001979.XSHE,0.619047619,42,26,1
600332.XSHG,0.553956835,139,77,1
601166.XSHG,0.484210526,95,46,0
600025.XSHG,0.2,5,1,0
600682.XSHG,0.537931034,145,78,1
600583.XSHG,0.572463768,138,79,1
600977.XSHG,0.571428571,21,12,1
601992.XSHG,0.512396694,121,62,1
600516.XSHG,0.592178771,179,106,1
002601.XSHE,0.636363636,143,91,1
600406.XSHG,0.570422535,142,81,1
601021.XSHG,0.545454545,55,30,1
601229.XSHG,0.6,10,6,1
300433.XSHE,0.528571429,70,37,1
601108.XSHG,0.5,4,2,0
000768.XSHE,0.538461538,156,84,1
002925.XSHE,0.454545455,11,5,0
000559.XSHE,0.564705882,170,96,1
600010.XSHG,0.519685039,127,66,1
600637.XSHG,0.592,125,74,1
000338.XSHE,0.559006211,161,90,1
002074.XSHE,0.506756757,148,75,1
000100.XSHE,0.581395349,129,75,1
000725.XSHE,0.528571429,140,74,1
600518.XSHG,0.4875,160,78,0
601688.XSHG,0.567164179,134,76,1
002044.XSHE,0.526666667,150,79,1
000963.XSHE,0.5625,192,108,1
601718.XSHG,0.496124031,129,64,0
000415.XSHE,0.530434783,115,61,1
600157.XSHG,0.546875,128,70,1
600660.XSHG,0.596491228,171,102,1
600690.XSHG,0.548611111,144,79,1
601009.XSHG,0.486725664,113,55,0
002081.XSHE,0.519125683,183,95,1
600376.XSHG,0.564885496,131,74,1
600816.XSHG,0.589552239,134,79,1
600535.XSHG,0.586666667,150,88,1
600019.XSHG,0.566371681,113,64,1
600809.XSHG,0.538860104,193,104,1
000568.XSHE,0.567708333,192,109,1
000839.XSHE,0.529801325,151,80,1
002050.XSHE,0.572254335,173,99,1
600340.XSHG,0.535294118,170,91,1
300136.XSHE,0.551912568,183,101,1
000503.XSHE,0.548780488,164,90,1
002475.XSHE,0.570512821,156,89,1
601238.XSHG,0.495238095,105,52,0
600893.XSHG,0.540740741,135,73,1
600176.XSHG,0.5,202,101,0
002027.XSHE,0.597315436,149,89,1
002007.XSHE,0.561643836,146,82,1
601212.XSHG,0.548387097,31,17,1
600926.XSHG,0.416666667,12,5,0
600663.XSHG,0.408,125,51,0
600519.XSHG,0.58045977,174,101,1
000413.XSHE,0.573333333,150,86,1
000002.XSHE,0.481203008,133,64,0
002594.XSHE,0.4921875,128,63,0
603260.XSHG,0.526315789,19,10,1
000786.XSHE,0.591194969,159,94,1
601288.XSHG,0.594594595,37,22,1
600887.XSHG,0.572916667,192,110,1
601818.XSHG,0.44,50,22,0
601006.XSHG,0.540816327,98,53,1
000402.XSHE,0.544217687,147,80,1
002385.XSHE,0.510344828,145,74,1
600018.XSHG,0.509090909,110,56,1
000538.XSHE,0.525179856,139,73,1
002065.XSHE,0.566037736,159,90,1
002470.XSHE,0.507142857,140,71,1
603288.XSHG,0.536842105,95,51,1
002466.XSHE,0.523809524,147,77,1
000625.XSHE,0.547826087,115,63,1
002500.XSHE,0.539823009,113,61,1
601828.XSHG,0.571428571,7,4,1
002236.XSHE,0.620689655,174,108,1
002310.XSHE,0.551912568,183,101,1
600104.XSHG,0.571428571,140,80,1
300003.XSHE,0.573170732,164,94,1
002411.XSHE,0.595890411,146,87,1
000001.XSHE,0.438356164,73,32,0
600118.XSHG,0.527272727,165,87,1
600233.XSHG,0.528571429,140,74,1
600704.XSHG,0.575,160,92,1
601012.XSHG,0.591240876,137,81,1
601611.XSHG,0.535714286,28,15,1
601336.XSHG,0.57,100,57,1
000651.XSHE,0.554216867,166,92,1
601600.XSHG,0.574074074,108,62,1
000709.XSHE,0.542635659,129,70,1
600999.XSHG,0.512820513,117,60,1
600089.XSHG,0.560283688,141,79,1
001965.XSHE,1,1,1,1
002714.XSHE,0.565217391,92,52,1
600547.XSHG,0.480916031,131,63,0
000959.XSHE,0.525862069,116,61,1
600570.XSHG,0.491620112,179,88,0
600588.XSHG,0.562962963,135,76,1
601668.XSHG,0.525,120,63,1
601117.XSHG,0.594936709,158,94,1
600705.XSHG,0.5,130,65,0
002555.XSHE,0.516666667,120,62,1
600837.XSHG,0.476744186,86,41,0
002294.XSHE,0.517948718,195,101,1
002415.XSHE,0.571428571,182,104,1
601988.XSHG,0.526315789,38,20,1
601633.XSHG,0.548611111,144,79,1
601398.XSHG,0.387755102,49,19,0
300408.XSHE,0.578947368,76,44,1
600309.XSHG,0.570512821,156,89,1
000938.XSHE,0.521276596,188,98,1
601985.XSHG,0.409090909,22,9,0
600177.XSHG,0.611650485,103,63,1
600339.XSHG,0.47804878,205,98,0
300144.XSHE,0.54887218,133,73,1
600820.XSHG,0.5,118,59,0
601888.XSHG,0.56185567,194,109,1
600549.XSHG,0.541666667,168,91,1
601111.XSHG,0.518181818,110,57,1
002508.XSHE,0.523529412,170,89,1
000627.XSHE,0.582278481,158,92,1
600000.XSHG,0.44047619,84,37,0
601899.XSHG,0.527777778,108,57,1
300072.XSHE,0.542056075,214,116,1
601318.XSHG,0.5,126,63,0
002608.XSHE,0.525,120,63,1
002456.XSHE,0.549450549,182,100,1
002673.XSHE,0.612903226,93,57,1
601099.XSHG,0.525547445,137,72,1
000895.XSHE,0.598484848,132,79,1
600352.XSHG,0.6,110,66,1
002230.XSHE,0.595238095,168,100,1
601390.XSHG,0.542553191,94,51,1
002352.XSHE,0.54973822,191,105,1
600276.XSHG,0.578947368,190,110,1
000983.XSHE,0.552238806,134,74,1
600959.XSHG,0.538461538,39,21,1
000776.XSHE,0.540322581,124,67,1
600390.XSHG,0.568047337,169,96,1
300024.XSHE,0.553191489,188,104,1
600188.XSHG,0.577181208,149,86,1
000826.XSHE,0.527950311,161,85,1
300251.XSHE,0.488888889,135,66,0
601838.XSHG,0.5,2,1,0
601618.XSHG,0.459183673,98,45,0
600023.XSHG,0.580645161,62,36,1
600383.XSHG,0.543209877,162,88,1
601360.XSHG,0.575,120,69,1
000423.XSHE,0.563157895,190,107,1
000623.XSHE,0.476923077,130,62,0
000858.XSHE,0.543352601,173,94,1
600008.XSHG,0.55862069,145,81,1
601727.XSHG,0.513274336,113,58,1
002252.XSHE,0.522522523,111,58,1
300124.XSHE,0.664974619,197,131,1
601878.XSHG,1,9,9,1
600061.XSHG,0.52892562,121,64,1
600867.XSHG,0.578947368,171,99,1
600028.XSHG,0.487179487,117,57,0
600170.XSHG,0.489655172,145,71,0
002153.XSHE,0.450331126,151,68,0
601877.XSHG,0.593333333,150,89,1
600362.XSHG,0.545454545,121,66,1
600606.XSHG,0.560344828,116,65,1
600346.XSHG,0.5625,192,108,1
601628.XSHG,0.596638655,119,71,1
300027.XSHE,0.545454545,154,84,1
600522.XSHG,0.477777778,180,86,0
600196.XSHG,0.49726776,183,91,0
601169.XSHG,0.533333333,90,48,1
601881.XSHG,0.5,12,6,0
600208.XSHG,0.477876106,113,54,0
600804.XSHG,0.56547619,168,95,1
000157.XSHE,0.48951049,143,70,0
600886.XSHG,0.525179856,139,73,1
600221.XSHG,0.471153846,104,49,0
603799.XSHG,0.5625,96,54,1
300017.XSHE,0.597633136,169,101,1
601766.XSHG,0.507936508,63,32,1
603833.XSHG,0.458333333,24,11,0
601898.XSHG,0.540983607,122,66,1
600297.XSHG,0.578616352,159,92,1
601901.XSHG,0.610526316,95,58,1
601328.XSHG,0.475609756,82,39,0
600050.XSHG,0.455284553,123,56,0
600031.XSHG,0.587412587,143,84,1
603160.XSHG,0.518518519,27,14,1
600029.XSHG,0.46969697,132,62,0
601377.XSHG,0.513274336,113,58,1
601198.XSHG,0.512195122,41,21,1
002736.XSHE,0.65625,32,21,1
600909.XSHG,0.541666667,24,13,1
002468.XSHE,0.518518519,135,70,1
600482.XSHG,0.505813953,172,87,1
601808.XSHG,0.549618321,131,72,1
600109.XSHG,0.482758621,116,56,0
002142.XSHE,0.55483871,155,86,1
600048.XSHG,0.560810811,148,83,1
600085.XSHG,0.514084507,142,73,1
601998.XSHG,0.471910112,89,42,0
600009.XSHG,0.489932886,149,73,0
000728.XSHE,0.511450382,131,67,1
002624.XSHE,0.56302521,119,67,1
603993.XSHG,0.52991453,117,62,1
600016.XSHG,0.543478261,92,50,1
600919.XSHG,1,3,3,1
600703.XSHG,0.510638298,188,96,1
600271.XSHG,0.539393939,165,89,1
600674.XSHG,0.56,150,84,1
000671.XSHE,0.525179856,139,73,1
600369.XSHG,0.567307692,104,59,1
000060.XSHE,0.513333333,150,77,1
601211.XSHG,0.523809524,42,22,1
600585.XSHG,0.494505495,182,90,0
601939.XSHG,0.444444444,72,32,0
603858.XSHG,0.458333333,24,11,0
601800.XSHG,0.540540541,74,40,1
601333.XSHG,0.5078125,128,65,1
002558.XSHE,0.608333333,120,73,1
600373.XSHG,0.540322581,124,67,1
000898.XSHE,0.612676056,142,87,1
600398.XSHG,0.532786885,122,65,1
600153.XSHG,0.475806452,124,59,0
600415.XSHG,0.484848485,132,64,0
601228.XSHG,0.611111111,18,11,1
600958.XSHG,0.388888889,18,7,0
002304.XSHE,0.563829787,188,106,1
002739.XSHE,0.607142857,28,17,1
002024.XSHE,0.577464789,142,82,1
600015.XSHG,0.552083333,96,53,1
002085.XSHE,0.52173913,161,84,1
600219.XSHG,0.591304348,115,68,1
000333.XSHE,0.575471698,106,61,1
300015.XSHE,0.5875,160,94,1
601555.XSHG,0.495495495,111,55,0
600372.XSHG,0.487951807,166,81,0
600688.XSHG,0.586419753,162,95,1
601997.XSHG,0.733333333,15,11,1
000063.XSHE,0.591160221,181,107,1
601225.XSHG,0.576576577,111,64,1
601601.XSHG,0.55,140,77,1
601933.XSHG,0.572254335,173,99,1
600038.XSHG,0.557291667,192,107,1
601989.XSHG,0.518518519,108,56,1
601018.XSHG,0.432098765,81,35,0
000166.XSHE,0.375,40,15,0
600487.XSHG,0.527093596,203,107,1
300122.XSHE,0.60326087,184,111,1
601958.XSHG,0.496183206,131,65,0
000723.XSHE,0.531578947,190,101,1
601991.XSHG,0.534653465,101,54,1
600795.XSHG,0.505263158,95,48,1
601607.XSHG,0.523529412,170,89,1
002241.XSHE,0.587096774,155,91,1
600068.XSHG,0.563909774,133,75,1
002625.XSHE,0.566371681,113,64,1
601155.XSHG,0.535211268,71,38,1
600030.XSHG,0.516393443,122,63,1
601669.XSHG,0.504672897,107,54,1
601186.XSHG,0.471910112,89,42,0
000792.XSHE,0.531034483,145,77,1
002493.XSHE,0.545454545,143,78,1
600739.XSHG,0.547619048,126,69,1
300070.XSHE,0.466666667,165,77,0
,0.542353071,37364,20265,235
